,Masechet,Daf,Line,Masechet,Comment
4955,Eruvin,203,0,שבת,סיינא שרי - כובע של לבד שקורין פלטרי מותר לצאת בו בשבת:
4956,Eruvin,203,0,"שבת, ביצה","מתני' מחזירין רטיה - כהן שלקה בידו ונתן עליה רטיה מבעוד יום והוצרך לעבוד עבודה בשבת או ביו""ט ונטל רטיה מעל ידו שלא תהא חוצצת בינו ובין ידו לעבודה דחציצה פוסלת בה דבעינן ולקח הכהן וכיון דחייץ לא הוי לקיחה בכהן מחזירה במקדש דאי לא שרית ליה להחזירה לא שקיל ליה מידיה וממנע ולא עביד עבודה וזה אחד משלשה דברים האמורים במסכת ביצה שהותרו סופן משום תחילתן:..."
4957,Eruvin,203,1,אבות,אבל לא במדינה - גזירה שמא ימרח הרטיה ומירוח היינו מוחק האמור באבות מלאכות של שבת:
4958,Eruvin,203,0,שבת,מתני' קושרין נימא - נימת כנור של שיר הלוים לקרבן אם נפסקה בשבת ובגמרא מפרש טעמא דקסבר מכשירי מצוה שלא היה יכול לעשותן מאתמול דהא היום נפסקה דוחה את השבת ואף על גב דקשר אב מלאכה הוא במסכת שבת (דף עג.): 
4959,Eruvin,203,0,שבת,"גמ' פלוגתא דר""א ורבנן גבי מילה (שבת דף קל.) שר""א מתיר לחטוב עצים ולעשות פחמין בשבת לעשות איזמל למול בו:"
4960,Eruvin,203,0,שבת,לר' יהודה - דאמר עניבה אב מלאכה במסכת שבת (דף קיג.) אין חילוק בין עניבה לקשירה וקושר דקסבר מכשירי מצוה דוחין והא דתניא עונבה רבנן דאמרי לאו מלאכה היא וכיון דאפשר בעניבה לא מחללינן שבת:
4961,Eruvin,204,0,שבת,"גמ' הרכיבו - בפסח הבא בשבת קאמר הרכיבו על כתיפו ברה""ר או להביאו מחוץ לתחום:"
4962,Eruvin,204,0,פסחים,"הא - דפסחים בכלי וה""נ קאמר תנא דמתניתין ור""א אפילו בכלי שרי דס""ל מכשירי מצוה דוחין שבת כגון מלאכה שאפשר לעשותה מבעוד יום כגון בקור המום מכשירי קרבן הוא והקרבן דוחה השבת ובמכשירין פליגי:"
4963,Eruvin,204,0,פסחים,"מתני' ביבישה - ואפ""ה בכלי אסור משום דמתקן לה וענין מלאכה קא עביד ודפסחים בלחה ותרוייהו ביד:"
4964,Eruvin,204,0,פסחים,אמר לך בכלי - למה לי לאשמועינן בפסחים דאסור הא כבר שמעינן לה הכא ולמה ליה לתנא לסתמיה בתרי דוכתי:
4965,Eruvin,204,0,פסחים,ואידך - להכי לא מוקמינן לההיא דפסחים בלחה ובכלי דאם כן הוה ליה אב מלאכה והתם הא דשבות הוא דאיירי:
4967,Eruvin,204,0,פסחים,"אלא אמר רב יוסף הא והא ביד - ומיהו מתני' ביבישה לא מוקמינן לה דאם כן אפילו בכלי שרי אלא בלחה וביד היינו טעמא דשרי דשבות הוא ובמקדש שתמידין וקרבנות צבור במקדש הם מבקרין אותן ובפסחים היינו טעמא דאסור דאע""ג דשבות הוא וצורך מקדש הוא אפ""ה כיון דכל אחד ואחד מבקר פסחו ומתקנו בביתו ואח""כ מביאו למקדש לא התירו לעבור על השבות במדינה:"
4968,Eruvin,204,0,שבת,"משלשלין וכו' - לצלותו והוא יצלה מעצמו ובבשר דעלמא אמרינן אין צולין בשר בצל וביצה אלא כדי שיצולו מבעוד יום גזירה שמא יחתה בגחלים בפ""ק דשבת (יט:):"
4969,Eruvin,204,0,פסחים,"רבא אמר - הא והא ביד כדאמר דבכלי ליכא לאוקמי לפסחים משום מלאכה והא והא בלחה דאי ביבישה לא מיתסר בכלי אלא מתני' דקתני שבות דאפשר לה מאתמול מידחי מקמי מכשירי מצוה ר""א היא דפליג נמי עלה דההוא דפסחים ואמר דוחין דאפילו אב מלאכה מידחי מקמייהו וכ""ש שבות והא דקתני במתני' דבכלי אסור מודה ר""א דכמה דאפשר לשנויי משנינן ליה ולא מחללינן שבתא והיכא דלא אפשר כגון גבי איזמל דחינן אפילו אב מלאכה:"
4971,Eruvin,205,1,שבת,אילימא רבנן - דאמרי מכשירי מצוה לא דחו אב מלאכה ואשמעינן דשבות דחו כגון בשיניו בחבירו וכגון שעלתה לו בשבת דלא אפשר ליה למשקליה מאתמול:
4972,Eruvin,205,1,שבת,אבל לא במדינה - שמרפא בשבת ורפואה בשבת שבות היא ואסור:
4973,Eruvin,205,0,סוטה,"גמ' צלצול קטן - אזור קטן נאה כמו היא חגרה בצלצול (קטן) דסוטה (דף ט:) ובלע""ז בנדי""ל:"
4975,Eruvin,205,1,שחיטת חולין,בשמאל - שאין עבודה כשרה בה כדאמר בשחיטת חולין כל מקום שנאמר אצבע או (בהן) [כהן] אינו אלא ימין:
4977,Eruvin,206,3,שבת,"ומבאר הקר בי""ט - ולא בשבת ובגמרא מפרש מאי ניהו:"
4978,Eruvin,206,0,שבת,דלא מבטל ליה - וליכא משום אשוויי גומות דמלאכה הוא בשבת דהוי כבנין דמידי דחזי למאכל בהמה או לטיט החומות לא מבטיל ליה התם אבל מלח משנדרס ברגל לא חזי ומסתמא מבטיל ליה ובמדינה אסור:
4979,Eruvin,206,0,שחיטת חולין,קא מוסיף אבנין - ואפילו בחול אסור להוסיף על המזבח דכתיב הכל בכתב מיד ה' עלי השכיל שהבנין נמסר לדוד על ידי הנביאים שלא להוסיף ושלא לגרוע ואית דנקטי ליה משום שבת ולא היא דהא בכסוי הדם בשחיטת חולין (חולין פג:) דאיירי בחול הכי נמי פרכינן:
4980,Eruvin,206,0,שחיטת קדשים,"הא קא הוי חציצה - בין רגליהם לכבש וחציצה כי האי גוונא פסולה דתנן בשחיטת קדשים (זבחים טו:) כל הזבחים שקבל דמן זר ואונן וערל יושב ועומד על גבי כלי על גבי רגל בהמה וע""ג רגל חבירו פסול והתם יליף טעמא:"
4981,Eruvin,206,0,שבת,גזרה שמא ימלא לגינתו - מתוך שממלאין בו בלא טורח אתי להשקות בו בגינתו וחורבתו בשבת:
4982,Eruvin,207,0,שבת,"מתני' כהן מוציאו בהמיינו - בשבת ולא חייש לטלטול דאין שבות במקדש בהמיינו באבנטו ואף על גב דמטמי ליה לאבנט שהוא קדוש הכי עדיף שלא לשהות את הטומאה בעזרה ולחזר אחר צבת של עץ שהיא פשוטי כלי עץ שאינה מקבלת טומאה ובידיו לא נגע בה דלא ניטמי כהן גופיה הלכך בהמיינו אוחזו דלא נגע ביה ושרץ אינו מטמא במשא והאבנט שמיטמא בשרץ אינו מטמא הכהן האוחזו דהוה ליה אבנט ראשון לטומאה והלכה רווחת היא בכל הש""ס שאין אדם וכלים מקבלין טומאה אלא מאב הטומאה בלבד וגם במקרא לא מצינו טומאה לכלים ולאדם אלא מן השרץ והנבלה וכיוצא בהן שהוא אב הטומאה אבל ראשון לטומאה מטמא אוכלין ומשקין כדכתיב (ויקרא י״א:ל״ג) וכל כלי חרש אשר יפול מהם וגו' דהוה ליה כלי חרס ראשון לטומאה מכיון שנתלה שרץ באוירו ואף על פי שלא נגע והכלי חוזר ומטמא מה שבתוכו יכול אם כלים היו בתוכו יטמאו מחמת כלי ראשון תלמוד לומר כל אשר בתוכו יטמא וסמיך ליה מכל האוכל אשר יאכל אוכלין ומשקין מקבלין טומאה מחמת הכלי ואין כלי אחר מיטמא מחמתו בשלהי הכל שוחטין:"
4983,Eruvin,207,0,שבת,מהיכן מוציאין אותו - בשבת:
4984,Eruvin,207,0,שבת,"לא - לעולם אימא לך המכניס שרץ חייב וטעמא דכלי חרס משום שאינו ראוי למדרס ולהיות אב הטומאה (מי שנעשה אב הטומאה) דבעינן דומיא דזכר ונקבה פעמים שהוא אב הטומאה כגון זב וזבה וטמא מת וכן הכלים נמי הואיל וראוין ליעשות אב הטומאה כגון זכר ונקבה כגון כלי שהוא ראוי למדרס ולמושב הזב הוי אב הטומאה ע""י מדרס של זב ומטמאין אדם וכלים כדכתיב (ויקרא ט״ו:ו׳) והיושב על הכלי אשר ישב עליו הזב יטמא המכניסן למקדש אפילו כשהן ראשונים כגון שנטמאו במגע הזב או נגעו במדרס הזב או בשאר אבות הטומאה חייב יצא כלי חרס שאינו נעשה אב הטומאה שאין לך כלי נעשה אב הטומאה לטמא אדם או כלי אלא מדרס הזב כדפרישית לעיל או מגע המת דמת אבי אבות הטומאה כדכתיב בזאת חקת בכלי או באדם שנגע במת וכל אשר יגע בו הטמא יטמא והנפש הנוגעת תטמא עד הערב פי' נפש הנוגעת בו בטמא זה שנטמא במת. תטמא עד הערב והא לא מצית למימר דהאי והנפש הנוגעת בנוגע במת עצמו קאמר דא""כ טומאת שבעה איכא אלמא טמא מת אב הטומאה משוי ליה קרא לטמא אדם הלכך כלי חרס אינו נעשה אב הטומאה כלל דלמדרס לא חזי משום דנשבר ותניא בהדיא בפרק רבי עקיבא במסכת שבת (דף פד.) מדרס כלי חרס טהור וע""י מגע נמי לא הוי אב הטומאה דכתיב לעיל מההוא קרא וחטאו ביום השלישי וגו' וכל אשר יגע בו הטמא וגו' כל היכא דקרינן ביה וחטאו דיש לו טהרה בטבילה קרינן ביה והנפש הנוגעת תטמא וכל היכא דלא קרינן ביה וחטאו לא קרינן ביה והנפש הנוגעת:"
4985,Eruvin,207,0,שבת,מאי לאו בהא קא מיפלגי דמאן דאמר מעזרה לא - מפקינן ליה בשבת:
4986,Eruvin,208,0,שבת,אמר רבי יוחנן - לענין עיולי כולי עלמא המכניס שרץ חייב ולענין להוציא הנמצא בעזרה בשבת בהאי קרא פליגי:
4987,Eruvin,208,3,שבת,"ויקבלו הלוים להוציא משם לנחל קדרון - אבל כהנים אחרים לא מיטמאין אע""פ שהיו צריכים לאנשים הרבה אלו מוציאין מן ההיכל לעזרה ואילו משם ולחוץ לוים הוא דמיטמאין ולא כהנים בן ננס סבר מדאשתני טומאת עזרה מכהנים ללוים שמע מינה היכא דאיתא בעזרה לא מפקינן ליה בעבירה אלא מהדרינן אהתירא ובשבת נמי לא דחינן שבות:"
4988,Bava Metzia,2,0,בבא קמא,והאמר רבנאי - בבבא קמא בהגוזל ומאכיל:
4989,Bava Metzia,3,1,שבועות,דלא כבן ננס - במסכת שבועות (דף מה.) גבי חנוני על פנקסו אלו ואלו באין לבית דין על מנת לישבע אחד מהם לשוא אמר בעל הבית לחנוני תן לבני חטים בדינר ועלי לשלם או לפועלים בסלע מעות שאני חייב בשכרם ועלי ליתן סלע הוא אומר נתתי והוא אומר לא נטלתי ושניהם תובעין את בעל הבית שניהם נשבעין ונוטלין מבעל הבית אמר בן ננס כיצד אלו ואלו באין לידי שבועת שוא אלא שניהם נוטלין בלא שבועה:
4990,Bava Metzia,3,0,בבא קמא,כסומכוס - בבבא קמא גבי שור שנגח את הפרה ונמצא עוברה בצדה (דף מו.):
4991,Bava Metzia,4,0,שבועות,"וישבע על השאר - כדין מודה מקצת הטענה שאמרה תורה ישבע כדילפינן בשבועות (דף לט:) מכי הוא זה ואע""ג דזה לא הודה הרי יש עדים במקצת ולא תהא הודאת פיו גדולה לחייבו על השאר שבועה מהעדאת עדים:"
4993,Bava Metzia,7,0,שבועות,הכא עיקר - שמשנה זו שנויה במסכת שבועות (לח.):
4994,Bava Metzia,8,0,שבועות,למאי איצטריך קרא למעוטי קרקע משבועה - דילפינן לה מכלל ופרט בשבועות (דף מב:) ולקמן בפרק הזהב (בבא מציעא דף נז:):
4995,Bava Metzia,8,1,בבא קמא,"צריכין כפירה במקצת והודאה במקצת - כפירה לא הויא אלא בכופר ממש או לא היו דברים מעולם או החזרתי לך הודאה לא הויא אא""כ הודה ממש שיש לו בידו שחייב להחזיר לו נמצא שאין חיוב שבועת השומרים באה אלא אם כן טען שלש פרות באחת כפר לו ובאחת הודה לו שישנה בידו והשלישית אומר לו נאנסה או אם שומר חנם הוא אומר לו בשלישית נגנבה דחייב עליה שבועה האמורה בפרשה (שמות כ״ב:ז׳) שלא שלח ידו במלאכת רעהו דאילו שבועה דכפירה אין זו שבועה האמורה בשומרים ובלאו כפירה נמי לא תחייביה שבועת שומרים דכתיב בשומר חנם כי הוא זה דמינה נפקא לן (שבועות לט:) שמודה במקצת וכפר במקצת ולאפוקי ממ""ד בבבא קמא בהגוזל [קמא] (דף קז.) עירוב פרשיות כתוב כאן וכי כתיב כי הוא זה לאו אשומר חנם דכתיב גביה קאי אלא אאם כסף תלוה ואשמועינן האי תנא דבשומרים נמי בעינן כפירה והודאה והשבועה האמורה בפרשה על פרה שלישית: "
4996,Bava Metzia,8,2,שבועות,לשכנגדו קאמינא - אם שבועה מוטלת עליו נשבע שכנגדו ונוטל כדאמרינן בשבועות (דף מד:) שהחשוד על השבועה תקנו חכמים שכנגדו נשבע:
4997,Bava Metzia,8,0,שבועות,"היסת - שבועה שהסיתו חכמים לכך להסיתו להודות וטעמא מפרש בשבועות (דף מ:): חזקה אין אדם טוען אא""כ יש לו בידו:"
4998,Bava Metzia,9,0,שבועות,ותקנתא - דכשכנגדו ישבע ויטול דהויא נמי תקנתא דמן התורה מי שעליו לשלם הוא ישבע ויפטר מן התשלומין ואין נשבע ונוטל מן התורה ואותן המנויין בשבועות (דף מד:). תקנת חכמים הן ולשבועה דאורייתא עבוד רבנן תקנתא אבל תקנתא לתקנתא לא עבדינן:
4999,Bava Metzia,10,0,שבועות,שניהם נשבעים - גבי חנוני על פנקסו וקשה לי אמאי שבקה למתני' דשבועות ומייתי לה מברייתא:
5000,Bava Metzia,11,2,בכורות,כולם פטורין - בין אותן שיצאו בין אותן שבתוך הדיר ואפילו הן אלף שיצאו פטורין (שהם) מנין הראוי שכשמנאן היה המנין ראוי להשלים ולבא לכלל מעשר ואמרינן בבכורות והכי מייתינן לה מנין הראוי פוטר ואותן שבתוך הדיר פטורין משום זה המעורב דכל אשר יעבור תחת השבט אמר רחמנא ולא שעבר כבר וכל חד מינייהו ספק כבר עבר הוא:
5001,Bava Metzia,11,0,בכורות,דאמר רבא - בבכורות (דף נט.):
5002,Bava Metzia,14,2,בבא קמא,ואילו שותפין שגנבו - והאחד הוציאה מרשות בעלים לדעתו ולדעת חבירו אמרינן בבבא קמא (דף עח:) דחייבין:
5003,Bava Metzia,17,1,גיטין,"ה""נ דלא הוי גיטא - והאנן תנן במסכת גיטין (דף עז.) זרק לה גיטה לתוך חיקה או לתוך קלתה הרי זו מגורשת: "
5004,Bava Metzia,17,0,שחיטת חולין,גמ' מי שליקט את הפאה - אדם בעלמא שאינו בעל שדה דאי בבעל שדה לא אמר ר' אליעזר זכה דליכא למימר מיגו דזכי לנפשיה דאפילו הוא עני מוזהר הוא שלא ללקט פאה משדה שלו כדאמר בשחיטת חולין (דף קלא:) לא תלקט לעני להזהיר עני על שלו:
5005,Bava Metzia,18,2,כתובות,לא קנה - כדאמר בכתובות דלאו כל כמיניה להיות קופץ מאליו וחב לאלו מאחר שלא עשאו אותו הנושה שליח לתפוס:
5006,Bava Metzia,19,3,גיטין,וכי היכי דשליחות לית לה - דתנן שאין הקטן עושה שליח דכי כתיב שליחות בין בגיטין בין בפסח איש כתיב בענין:
5007,Bava Metzia,19,1,קידושין,"וקי""ל - בקידושין בפ""ב (דף מב:): "
5008,Bava Metzia,20,1,ערכין,נתון ליהושע - לרבי יהושע בר חנניא שהיה עמו בספינה והוא לוי ונוטל מעשר ראשון כדאמרי' בערכין (דף יב:) מעשה ברבי יהושע שהלך לסייע את ר' יוחנן בן גודגדא בהגפת דלתות אמר לו חזור בך שאתה מן המשוררים ואני מן המשוערים ומשורר ששיער במיתה:
5009,Bava Metzia,21,0,גיטין,ואמר עולא - במסכת גיטין (דף עז:) גבי הזורק גט לאשתו בתוך ביתה או בתוך חצרה:
5010,Bava Metzia,22,2,גיטין,כמונח דמי - וקנאו בעל הבית הראשון או לאו כמונח דמי להכי בעי אויר שאין סופו לנוח בתוך הבית כמונח דמי דאילו אויר שהיה סופו לנוח בתוך הבית פשיטא לן דאפילו קדם איש אחר וקלטה בתוך האויר לא קנה דמשנכנס לאויר קנאו בעל הבית דתנן במסכת גיטין (דף עט.) היתה עומדת בראש הגג וזרק לה גט כיון שנכנס לאויר הגג הרי זו מגורשת הוא למעלה והיא למטה כיון שיצא מרשות הגג נמחק או נשרף הרי זו מגורשת:
5011,Bava Metzia,22,0,כתובות,"מתני' מציאת בנו ובתו הקטנים כו' - בנו קטן בגמרא מפרש מ""ט בתו הקטנה בכתובות (דף מו:) ילפינן לה מקראי דקטנה ואף נערה כל שבח נעוריה לאביה:"
5012,Bava Metzia,22,0,כתובות,גמ' מפני מה אמרו מציאת קטן לאביו - בשלמא בתו ואשתו טעמא מפרש להו במקומן בכתובות אלא בנו טעמא מאי:
5013,Bava Metzia,28,0,בבא קמא,"שנטלוה מסיקין - אנסים עכו""ם נטלוה מן הגזלן ומחמתו ותנן בבבא קמא (דף קטז:) הגוזל שדה מחבירו ונטלוה מסיקין אם מחמת הגזלן חייב להעמיד לו שדה אחר והרי היא יוצאה מתחת ידו דקתני בנטילת מסיקין הוא:"
5014,Bava Metzia,29,0,כתובות,הניחא למאן דאמר כו' - פלוגתא היא בכתובות (דף צא:):
5015,Bava Metzia,30,1,ערכין,"עד דמתחלן יומא דאכרזתא - לאחר שמצא זה קרקע משל גזלן ובא לב""ד והן מכריזין שכל מי שרוצה לקנות קרקע יבא ויקחנה כדאמרינן בערכין (דף כא:) שום היתומין שלשים יום:"
5016,Bava Metzia,34,3,"ב""ב","מתה אינו יורשה - דירושת הבעל נפקא לן משארו הקרוב אליו ממשפחתו וירש אותה וגו' בב""ב (דף קיא:) והא לאו שארו הוא:"
5017,Bava Metzia,35,0,גיטין,בשלמא רבה - דאמר שינויא ארומיא דמתניתין דגיטין אמתני' דנזיקין:
5018,Bava Metzia,36,0,גיטין,שפיר - יש לה לטרוף כל מה שמכר משעת כתיבה והא פלוגתא במסכת גיטין בפ' שני (דף יז:):
5019,Bava Metzia,36,0,גיטין,"הניחא למ""ד כו' - פלוגתא בפ""ק דגיטין (דף יב:):"
5020,Bava Metzia,39,1,בבא בתרא,שטרות שניהם פרועין - שכל אחד יכול לומר על שלי נכתב שובר ובבבא בתרא פרכינן בלא שובר נמי הא תנן אין אחד יכול להוציא שטר חוב עליהם ומוקמינן ליה במשולשין בשטר ואין משולשין בשובר והא הכא דיוצא מתחת יד מלוה הוא:
5021,Bava Metzia,39,0,שבועות,שבועה שלא פקדנו אבא - משנה היא בשבועות (דף מה.) יתומין מן היתומין לא יפרעו אלא בשבועה ומהו שבועתן שבועה שלא פקדנו אבא בצואת מיתה ושלא אמר לנו קודם לכן ושלא מצינו שובר בין שטרותיו של אבא על שטר זה שיהא פרוע הא אם מצאו סמכינן עליה:
5022,Bava Metzia,43,0,"עירובין, גיטין, סנהדרין","יע""ל קג""ם - סימני הלכות הן יאוש שלא מדעת דהכא עד זומם למפרע הוא נפסל בסנהדרין (דף כז.) לחי העומד מאיליו בעירובין (דף טו.) קדושין שלא נמסרו לביאה בקדושין (דף נא.) גלוי דעתא בגיטא בגיטין (דף לד.) מומר אוכל נבילות להכעיס פסול לענין עדות בסנהדרין (דף כז.):"
5023,Bava Metzia,50,2,מנחות,מעשר - שרוב בשר הנאכל בירושלים מעשר לפי שאין אדם שוהה בירושלים עד שיאכל כל מעשרותיו ונותן מעות מעשר לעניי העיר או לאוהביו יושבי העיר ורוב הוצאות מעשר לוקחין בהן בהמות לשלמים כדגמר שם שם מעשר משלמים במסכת מנחות (דף פב.):
5024,Bava Metzia,51,0,בבא קמא,עובר משום השב תשיבם - לא תגזול לא שייך אלא בשעת נטילה כמו ויגזול את החנית מיד המצרי (שמואל ב כג) כדאמר בבבא קמא (עט.) לא תוכל להתעלם אינה אזהרה אלא לכובש את עיניו ונמנע מלהציל הלכך הנוטלה על מנת להחזיר ולאחר יאוש נתכוין לגוזלה אין כאן מתעלם אבל השב תשיבם איכא משנטל עד שישיבנה:
5025,Bava Metzia,55,0,תענית,וזו היא ששנינו - במסכת תענית (דף יט.) בחוני המעגל:
5026,Bava Metzia,57,1,גיטין,"כאן שנה רבי - במסכת גיטין (דף כט.) תנן השולח גט בארץ ישראל הרי זה משלחו ביד אחר ואם אמר לו טול חפץ פלוני הימנה לא ישלחנו ביד אחר שאין רצונו שיהא פקדונו ביד אחר ואמר ר""ל עלה כאן שנה רבי במשנה זו למדנו רבי שסתם המשניות אין השואל כו' דבכולהו שייך למימר אין רצונו שיהא פקדונו ביד אחר:"
5027,Bava Metzia,58,2,סוטה,עלה עליה זכר פסולה - שנאמר אשר לא עלה עליה עול ותניא עול אין לי אלא עול כו' במסכת סוטה (דף מו.) והאי הכניסה לרבקה ודשה דלא ניחא ליה בה דמיא לשכן עליה עוף:
5028,Bava Metzia,58,0,יבמות,"האי עשה - השב תשיבם ואע""ג דלא תעשה נמי איכא אין לא תעשה מועיל לדחות לא תעשה אלא עשה הוא דקא דחי ליה כדאמרינן ביבמות (דף כא.):"
5029,Bava Metzia,59,1,בבא קמא,דמגיזתא - גוזאי הדנין ביסורים ובחזקה וחבירו בבבא קמא (דף קיד.) דדייני בגזתיא:
5030,Bava Metzia,61,2,כתובות,"יש לו ואינו רוצה להתפרנס - משלו אלא משלך מנין שאתה חייב להעביטו וליפרע ממנו אחר מיתה ת""ל תעביטנו והכי מפרש בכתובות פרק מציאת האשה (כתובות דף סז:):"
5031,Bava Metzia,64,2,תמיד,"אחד יורד לאמת השחי - משנה היא במסכת תמיד (פרק ג משנה ו) אצל הנכנסים שחרית לפתוח דלתות ההיכל מי שזכה בדישון מזבח הפנימי כו' ושני מפתחות בידו אחד יורד לאמת השחי ואחד פותח כיון אחד מן המפתחות הללו פותח פשפש הצפוני שאצל פתח ההיכל בקרן מזרחית צפונית של אולם והיכל כדתנן התם שני פשפשים היה לו לשער הגדול אחד לצפון ההיכל והאולם ואחד לדרומו ואותו שבדרום לא נכנס בו אדם מעולם כדמפרש התם ואותו פשפש שבצפון והוא לפתח שבזוית האולם שאצל חמש אמות של כותל ההיכל שבצפון פתח ההיכל ודלת סובבת בו ואותו מפתח של אותו הפתח יורד לאמת השחי. פשפשים פתחים קטנים כמין כיפות קטנות ארכו כעובי רוחב הכותל ודלת סובבת בו פושטי""ר בלעז אחד יורד לאמת השחי. הבא לפתוח בו שחרית [פשפש שבזוית האולם] עומד מבחוץ בתוך האולם ומכניס ידו בחור שבכותל עד בית שחיו ופותח:"
5032,Bava Metzia,65,0,עבודה זרה,"בימי רבי נשנית משנה זו - הא דקתני תלמוד אין לך מדה גדולה מזו לפי שמשרבו תלמידי שמאי והלל שהיו לפניו שלשה דורות רבו מחלוקות בתורה ונעשית כשתי תורות מתוך עול שעבוד מלכיות וגזירות שהיו גוזרין עליהן ומתוך כך לא היו יכולים לתת לב לברר דברי החולקים עד ימיו של רבי שנתן הקב""ה לו חן בעיני אנטונינוס מלך רומי כדאמרינן בעבודה זרה (דף י.) ונחו מצרה ושלח וקבץ כל תלמידי ארץ ישראל ועד ימיו לא היו מסכתות סדורות אלא כל תלמיד ששמע דבר מפי גדול הימנו גרסה ונתן סימנים הלכה פלונית ופלונית שמעתי משם פלוני וכשנתקבצו אמר כל אחד מה ששמע ונתנו לב לברר טעמי המחלוקת דברי מי ראוין לקיים וסידרו המסכתות דברי נזיקין לבדם ודברי יבמות לבדם ודברי קדשים לבדם וסתם נמי במשנה דברי יחידים שראה רבי את דבריהם ושנאן סתם כדי לקבוע הלכה כמותם לפיכך אמרו בגמרא אין לך מדה גדולה מזו שיתנו לב לטעמי המשנה:"
5033,Bava Metzia,65,1,סוטה,שנאיכם אלו בעלי משנה - ששונאין בעלי גמרא לפי שבעלי גמרא אומרים על בעלי משנה שהן מבלי עולם כדאמרינן במסכת סוטה (דף כב.) התנאים מבלי עולם שמורים הלכה מתוך משנתם:
5034,Bava Metzia,66,1,כתובות,"א""נ דהוה קיימא באגם - כשגנבה גנב ללישנא בתרא לא קני כפילא דהא סמוך לגניבתה לא היתה בחצירו שתהא חצירו קונה לו ומשיכה ההוא שעתה לא הואי ובמאי נקני וא""ת תקני לו משיכה ראשונה שמשכה לו על מנת לקנותה שעה הסמוכה לגניבתה הא אמרינן בכתובות בהאשה שנפלו לה נכסים (דף פב.) האומר לחבירו משוך פרה זו ולא תיקני לך אלא לאחר שלשים לא קנה:"
5035,Bava Metzia,68,0,"ר""ה","באושא התקינו - כשהיתה סנהדרין באושא שגלתה וישבה שם סנהדרי גדולה כדאמרינן בר""ה (דף לא) גבי עשרה מסעות:"
5036,Bava Metzia,68,2,כתובות,"בעל מוציא - גוף הקרקע מיד הלקוחות והכי מוקי לה בפרק האשה בכתובות (דף עח:) תקנת אושא בגופה של קרקע לאחר מיתה אלמא כלוקח שויוהו רבנן וא""ל אני לקחתי ראשון דאי כשאר יורש שויוהו רבנן יורש שמכר אביו נכסיו בחייו אין לו ירושה בהן:"
5037,Bava Metzia,69,0,ערכין,"מכי שלמו ימי אכרזתא - אע""פ שבאה אדרכתא לידו ולא מצא נכסים ללוה עד לאחר זמן וכשמצא הוזקק לבא לב""ד ומכריזין שיש כאן קרקע למכור כדאמרינן בערכין (דף כא:) ואם בא זה וקיבלה ביותר ממה ששמוה אחרים מוסרין אותה בידו לאחר שכלו ימי הכרזה ובמסכת ערכין מפרש כמה ימים מכריזין בפ' שום היתומים (שם) ועד דשלמו הנך יומי הוי פירי דלוה:"
5038,Bava Metzia,69,0,שבועות,פעמים ששניהם בחטאת - אמתניתין קאי השוכר והשואל נשבעו לשקר ולא כפרו ממון והרי הן בשבועות ביטוי וקרבן שלו חטאת כדכתיב בויקרא או נפש כי תשבע וגו':
5039,Bava Metzia,70,0,שבועות,"מאי קמ""ל - רבי ירמיה משניות שלימות הן בשבועות המשנה מחובה לחובה ומפטור לפטור ומפטור לחובה פטור מאשם גזילות מחובה לפטור חייב:"
5040,Bava Metzia,73,0,יבמות,לא זו הדרך - סיפא דגזל אחד מחמשה הוא ביבמות (דף קיח:):
5041,Bava Metzia,73,0,בכורות,"הכל מודים בשנים שהפקידו כו' - גבי פלוגתא דר""ט ור""ע איתמר במסכת בכורות (דף יח:) שנים שהפקידו זה טלה אחד וזה שנים זה אומר שנים שלי וזה אומר שנים שלי והתם שתי כריכות נינהו ואפילו הפקידו זה בפני זה דבר הנראה הוא מי מביא אחד ומי מביא שנים דבשלמא גבי כריכות מעות הואיל דאלו ואלו צרורין הוא שוכח מי הפקיד אצלו צרור גדול ומי צרור קטן הואיל והפקידו אצלו יחד אבל גבי טלאים מילתא מוכחת טפי:"
5042,Bava Metzia,75,1,גיטין,צידן - במסכת גיטין (דף עד.):
5043,Bava Metzia,76,5,בבא קמא,מחמת מרדין - שהרג את הנפש ופרסאי הורגין על שפיכות דמים כדאמרינן בבבא קמא (דף קיז.) מרדין היא רציחה בלשון פרסי וכן מפורש בשערים דרב האי גאון (שער מ):
5044,Bava Metzia,78,0,בבא בתרא,"וכן אמר רבה השביחו לאמצע - לא גרסינן שאין זה לשון גמרא להביא דברי האמוראים סיוע למשנה ועוד רבה תלמידיה דרב חסדא הוה והיכי אמר רב חסדא שמעתא משמיה ואי גרס ליה וכן אמר רב גרסינן שהיה רבו של רב חסדא משום דאיכא למ""ד בבבא בתרא (דף קמג:) לא שנו אלא ששבחו נכסים מחמת נכסים אבל שבחו מחמת עצמן של אחים השביחו לעצמן אמרה רב חסדא להא דרב הכא למימר דלית לן ההיא שמעתא אלא אפילו השביחו מחמת טורחן של משביחין כי הכא דשתל פרדס השביחו לאמצע:"
