,masechet1,masechet2,loc1,loc2,txt1,txt2
10,Yoma,Yoma,40b:1,65a:10,"[""יעמד חי - על כרחך ללמדנו שאם מת אתה צריך להביא אחר דאי לא למאי אתא אם תאמר שלא ישלחנו עד לאחר מתן דמים ליכתוב יעמד לפני ה' לכפר עליו חי למה לי אלא שאם מת צריך להביא אחר:"", 'ועד מתי הזקיקו להיות חי עד שעת מתן דמים של חבירו - דכתיב לכפר עד שיכפר בדמו של חבירו אבל משעת מתן דמים ואילך אע""פ שעדיין לא התודה לפי סדר המקראות וכלה מכפר וגו\' (ויקרא טז) וסמך אהרן וגו\' אם מת אין צריך אחר אלמא וידוי לא מיעכב:']",['להיות חי - שלא ימות עד שעת מתן דמו של חבירו הא אם מת קודם לכן אין כפרת הדם כלום לכך צריך תשלומין ובלא הגרלה אי אפשר וזקוק לשנים וראשון ידחה דהכל מודין בשחוטין שנדחין:']
11,Berakhot,Megillah,7b:18,6b:5,['מרום משפטיך מנגדו – מסולקין דיניך ברחוק הימנו:'],"['יחילו - יצליחו ודומה לו על כן לא יחיל טובו (איוב כ׳:כ״א):', 'מרום משפטיך מנגדו - מסולקין הם ממנו:', 'יפיח בהם - בנפיחה בעלמא הן נופלים:']"
12,Beitzah,Yevamot,39a:1,82a:9,['שיש לו מתירין - למחר יוליכוה או היום יאכלוה כאן:'],['רב אשי אמר - בנימוחה וסיפא הוי דבר שיש לו מתירין דמותרין לכהן:']
13,Berakhot,Yoma,24a:9,11a:9,['לדידי נמי – בין אשתו בין אחר פלוגתא דהני תנאי היא:'],"[""אלא מאי אית לך למימר - כי פרשת נאותות מתקשטות שם ותיקשי מתני' אמתני' ונימא תנאי היא:""]"
14,Megillah,Rosh Hashanah,17b:9,32a:6,"[""הבו לה' - הזכירו לפניו את אילי הארץ:""]","['בני אלים - לישנא דתקיפי כמו ואת אילי הארץ לקח (יחזקאל י״ז:י״ג):', ""הבו לה' - הזכירו לפניו האיתנים:""]"
15,Bekhorot,Niddah,10a:7,50b:2,"['צריכה מחשבה - לטמא טומאת אוכלין אם נגע בהן שרץ שאם תגע אחרי כן באוכלין כשרין תטמאם וכל כמה דלא חשיב עליה לית ביה שום טומאת מגע דנבלת עוף טהור אינה מטמאה אלא אם אכלה ואז מטמאה אותן בגדים שהוא לבוש בשעת בליעה:', ""ואינה צריכה הכשר - הואיל ויש עליה טומאה חמורה לטמא אדם ובגדים אם היה אוכלה ואמר בכריתות בפרק דם שחיטה (כריתות דף כא.) וכי יותן מים וכו' מה זרעים מיוחדין שאין סופן לטמא טומאה חמורה צריכין הכשר אף כל שאין סופן לטמא טומאה חמורה צריכין הכשר ולא שייך הכשר אלא בטומאה קלה דאוכלין וכן מחשבה:""]",['ואינה צריכה הכשר - כדיליף לקמן בשמעתין כל שסופו לטמא טומאה חמורה אין צריך הכשר לא שום הכשר ירידת טומאה לא הכשר מים ולא הכשר שרץ אלא מאיליה בלא שום נגיעה:']
16,Arakhin,Keritot,3a:11,8b:11,"['א""כ למה נאמר איש לענין שלמטה - דמשמע איש ולא אשה ולאו אטמא יטמאנו קאי דהתם אפי\' אשה אלא אקרא דלמטה קאי דמשתעי בפריעה ופרימה:']","['ה""ג א""כ מה ת""ל איש לענין של מטה - דלטהרת טומאת נגעים א""א שהרי נאמר והצרוע:\n', 'איש - דכתיב במקרא העליון לענין מקרא התחתון שפריעה ופרימה כתובה באחרונה לומר לך איש פורע ופורם:\n']"
17,Temurah,Yoma,23b:13,55b:2,"['תקלין חדתין - מי שלא הביא שקלו באדר מביאו כל השנה ונותנו באותו שופר וכשיגיע אחד מן השלשה פרקים שתורמין את הלשכה נותנן בלשכה ונתרם עם שאר כסף שבלשכה:', 'והשני כתוב בו <b>עתיקין</b> - מי שלא הביא שקלו אשתקד מביאו לשנה הבאה ונותנו שם והן עושין מהן חומת העיר ומגדלותיה וכל צרכי העיר שהרי ממותר שירי הלשכה לבד נעשה כאותה ששנינו (שקלים פ""ד מ""ב) מותר שירי הלשכה ממנה היו עושין חומות העיר כו\' והאי מותר הוא שאילו היה שם היה נשאר:', 'קינין - מי שהיה מחוסר כפרה כגון זב וזבה ויולדת ומצורע שהן מביאין קן מביא מעות ונותן שם ואוכל בקדשים לערב בחזקת שהוקרבה כפרתו שאין בית דין של כהנים עומדין משם עד שיכלו כל המעות שבאותו שופר כדי שלא יאכל מחוסר כפרה בקדשים:', 'גוזלי עולה - ברביעי כתוב כן והמתנדב בני יונה לנדבת עולת העוף מביא מעות ונותן בו:', 'עצים - בחמישית כתוב עצים שהמתנדב עצים למערכה מביא מעות ונותן לתוכו:', 'לבונה - בששי כתוב לבונה שהמתנדב לבונה מטיל מעות לתוכו:', 'וזהב לכפורת - המתנדב לכלי שרת מביא ונותן בו. ל""א וזהב לכפורת המתנדב כלי שרת מביא ונותן. כפורת היינו מזרק ובספר עזרא כתיב כפורי זהב וגו\' ומש""ה נראה לי שהוא עיקר משום דקדשי בדק הבית לא היו באין למקדש אלא ליד הגזבר:']","[""וששה לנדבה - לקיץ המזבח לתת לתוכן מעות שלוקחין מכל הרועות של מותר אשמות וחטאת ששנינו בהן ירעה וימכר ויפלו דמיו לנדבה ובפרק בתרא דמנחות (דף קז:) ששה שופרות כנגד ששה בתי אבות שבכל משמר ומשמר וכל אחד ואחד מכיר את של יומו ואם היה מזבח בטל ביומו שאין איש מביא קרבנות לוקחין בני בית אב מעות שופר שלהן ולוקחין מהן עולות והוא קיץ המזבח שמע מינה מיהת דר' יהודה אית ליה כתיבה דקתני והיה כתוב עליהן:""]"
18,Bava Kamma,Bava Kamma,13a:23,53a:16,['אנא תוראי בבירך אשכחתיה - מת הלכך כל הנזק עליו מה דאית לי לאשתלומי מבעל השור משתלימנא אם תם הוא משלם רביע דאפילו הזיקו הוא לבדו לא היה משלם אלא חצי נזק ועכשיו שיש אחר עמו ישלם רביע והשאר משתלימנא מינך:'],"[""מאי דאית לי כו' - אבל רבנן בתר מעיקרא אזלי וסברי דבעל השור כולה הזיקא עבד הלכך במועד בעל השור משלם כוליה ובתם בעל השור משלם פלגא ופלגא מפסיד וגבי מתניתין נמי בתר כורה אזלינן ושניהם פטורין:""]"
19,Shevuot,Shevuot,2a:5,4a:10,"['את שיש בה ידיעה - כוליה אטומאה קאי ובגמרא מפרש אמאי מפרש מילי דטומאה ברישא ויציאות ומראות כל חדא וחדא מפרש במסכת דידה להכי לא פרשינהו בהאי מסכת והאי דתנינהו הכא משום דדמו להדדי בשתים שהן ארבע:', 'ידיעה בתחלה - שידע שנטמא:', 'וידיעה בסוף - משאכל את הקודש בהעלם או נכנס למקדש ויצא ונודע לו שבטומאה אכל או בטומאה נכנס:', 'והעלם בינתים - כשאכל את הקודש נעלמה ממנו טומאה או קודש וכן הנכנס למקדש נעלמה ממנו טומאה או מקדש:', 'הרי זה - בקרבן המפורש באותה פרשה לעשיר חטאת בהמה ולעני עוף ולדל שבדלים עשירית האיפה והיא מנחת חוטא האמורה בכל מקום וזהו לשון עולה ויורד לעשיר עולה ולעני יורד ובגמרא מפרש מנא ליה דבידיעה בתחלה ובסוף והעלם בינתים כתיב:']","['ותו ה""ז בעולה ויורד - והא במזיד אוקימתה:']"
20,Yevamot,Yoma,37b:6,18b:2,['מאן הויא ליומי - מי חפצה לינשא לימים שאתעכב כאן:'],['מאן הויא ליומא - יש אשה שתנשא לי ליומא שאתעכב כאן ותצא לאחר מכאן:']
21,Yevamot,Yevamot,39a:17,52a:12,['ואי לית לה מראשון - דלית ליה נכסים:'],['על נכסי בעלה הראשון - ולא על של יבם. מאי טעמא כדאמר בהחולץ (לעיל יבמות דף לט.) אשה הקנו לו מן השמים:']
22,Pesachim,Sanhedrin,12b:17-18,42a:7-8,['בתוך הנץ - כשמתחיל הנץ:'],['אבל - הנץ החמה סימן מובהק הוא ואין לטעות בהנץ החמה בתוך שהיא זורחת:\n']
23,Bava Kamma,Niddah,37b:8,64a:1,"['ראתה יום ט""ו בחדש זה ויום ט""ז בחודש זה כו\' - ומתחילה היתה לימודה בימים אחרים:', 'קבעה לה וסת - לדילוג וכי חזיא הך ראייה שלישית בי""ז בחדש שלישי דיה שעתה ואינה מטמאה טהרות מעת לעת כדתנן כל אשה שיש לה וסת דיה שעתה:', 'ושמואל אמר עד שתשלש בדילוג - אין לה וסת קבוע עד שתראה ראייה רביעית בי""ח דראייה קמייתא לאו ממניינא דלאו בדילוג חזית והכא נמי לרב בג\' נגיחות נעשה מועד לדילוג ומשלם נזק שלם בשלישית ולשמואל עד שיגח רביעית בי""ח בחדש רביעי דקמייתא לאו ממניינא ונראה דהך ברייתא נמי דאייתינן לעיל [ראה] שור ונגח שור ולא נגח כו\' לרב נעשה מועד דקתני אשלישית [קאי] ולשמואל ה""ק נעשה מועד לסירוגין דכי הדר נגח משלם נזק שלם אבל בהך שלישית תם הוא:']","['קבעה לה וסת לדילוג - ואסורה ליום י""ח לחדש רביעי וליום י""ט בחדש חמישי וכן לעולם:', 'עד שתשלש בדילוג - ויום ט""ו אינו מן המנין שהוא תחלת ראייתה ואין שם דילוג:']"
24,Arakhin,Megillah,33a:5-7,14b:7-8,"[""אפשר יובל בטל - משגלו שבט ראובן וגד ונביא מתנבא עליו וכו':""]",['מה טיבו בבית אל - והלא (משל) מלכי ישראל היה שהרי שם העמיד ירבעם את העגל:']
25,Arakhin,Ketubot,21b:13,100b:5,"['מתני\' שום היתומים - ב""ד היורדים לנכסי יתומים למוכרן להגבות לבעל חוב שמין את הקרקע ומכריזין ל\' יום כל הרוצה ליקח יבא ויקח:', 'ושום ההקדש - גזבר המוכר קרקע של הקדש:']","['נעשו - בתמיה הא ודאי טעו בדבר השנוי במשנה:', 'שום ההקדש - גזבר המוכר קרקע של הקדש:', 'ששים יום - מושכים ימי הכרזה:']"
26,Berakhot,Yevamot,21b:9,4a:4,['במשנה תורה דריש – והאי קרא במשנה תורה הוא נאמר:'],['במשנה תורה דריש - והאי סמוכים דכלאים בציצית במשנה תורה הוא ודרשינן:']
27,Menachot,Yoma,59b:20,64b:4,"['נשפך הדם - על הארץ של שעיר הנעשה בפנים:', 'ימות המשתלח - מביא שנים אחרים או אם מת המשתלח ישפך דם של חבירו על הקרקע ויביא שנים אחרים אלמא אית ליה דחויין:']",['ימות המשתלח - אלמא בעלי חיים נדחין:']
28,Menachot,Pesachim,59b:21,65a:8,"[""מדם התערובות - בפ' תמיד נשחט (פסחים דף סד.) כוס היה ממלא מדם תערובות של פסחים שנתמצו על הרצפה משום דחיישינן לאחר שנתקבל הדם אחד מן הפסחים נשפך לארץ ולא נזרק והשתא משתרי בזריקה דהאי כוס דקיימא לן נשפך הדם מן הכלי על הרצפה ואספו כשר:""]",['נמצא כוס זה מכשירו - שהרי מעורב בו מן הנשפך:']
29,Yoma,Zevachim,80a:16-80b:1,38b:6-7,"[""אם כן - דלבית הלל מיחייב בכדי שיסלקנו וכו' הוה ליה בציר מרביעית והויא לה מקולי בית שמאי וליתנייה במסכת עדיות גבי קולי בית שמאי שכולן שנויות שם:""]","['כי איתשיל - משנה בבית המדרש תחילה ונחלקו עליה בית שמאי וב""ה:']"
30,Shabbat,Shabbat,75b:6,97b:7,"['שובט - משוה השתי בכרכר שקורין ריו""ל:', 'מדקדק - כשמותח חוט הערב מכה בכרכר עליו במקומות מקומות ליישבו שלא יהא מתוח יותר מדאי שהמתיחה מעכבתו מהתחבר יפה עם הארג:', 'שובט הרי הוא בכלל מיסך - דהיינו מיסך ממש שמסדר חוטי השתי:', 'הרי הוא אורג - דהיינו אורג ממש ולא דמי לזורה ובורר ומרקד דזה בקשין וזה בצרורות וזה בקמח:']",['שובט - מכרכר בכרכר:']
31,Shabbat,Yevamot,130a:3,14a:9,"['כלל אמר ר""ע - נחלק על ר""א במכשירי מצוה שאין דוחין הואיל ואפשר לעשותן מע""ש:']","['כלל אמר ר""ע - לגבי מילה באיסור שבת:']"
32,Gittin,Yevamot,27b:12-28a:1,120a:13,"['מצאו קשור בכיס או בארנקי - ומכיר את הכיס ואת הארנקי:', 'בין כליו - בביתו:']","['מצאו קשור - המביא גט לאשה ואבד הימנו:', ""בין כליו - בין כלי ביתו ומכיר את הכיס ואת הטבעת שהן שלו כשר ולא חיישינן דלמא האי כיס והאי טבעת דאיניש אחרינא הוה והאי גט אחר הוא. אלמא סמכינן אסימנא דאית ליה בכיס ובארנקי ואפי' למישרי איסור אשת איש דאורייתא אלמא סימנין דאורייתא:""]"
33,Avodah Zarah,Avodah Zarah,6a:10,8a:6,"['וסימנך - דלא תימא קלנדא לפני התקופה וסטרנלייא לאחר התקופה:', 'אחור וקדם צרתני - אחור כתיב ברישא ומתניתין נמי האיד דלאחר התקופה תנא ברישא:']","['וסימנך - שלא תחליף לומר קלנדא קרי אותן דלפני התקופה:', ""אחור וקדם צרתני - אחור כתיב ברישא מתני' נמי הנך דלאחר התקופה תנא ברישא:""]"
34,Chullin,Sotah,5a:5,46b:21,"['ודלמא על שם מקומן - שהיו מצור עורב:', 'מי לא כתיב - שאדם נקרא על שם מקומו ואפילו יחיד ואף ע""פ שאין מדבר בכל אנשי המקום כגון פלשתים גבעונים אלא באיש אחד כדכתיב נערה קטנה:', ""וקשיא לן קרי לה נערה - דהביאה ב' שערות וקרי לה קטנה דמשמע שלא הביאה שתי שערות:"", 'עורביים מבעי ליה - דלא אתי למטעי בעורבים ממש:']","['ודלמא - קטנים ממש הוו ועל שם מקומם נקראו נערים שהיו מן נעורן:', 'הכא מפרש מקומן - יריחו:']"
35,Sanhedrin,Yoma,64a:9,69b:12,['לבעו פלגא - שלא יהא שולט במקום עבירה כדי שלא יהא תובע עריות:'],"['ביעתא בת יומא - ביצה הנולדה בו ביום לפי שפסק החימום מן המעים ואפילו אותן שעיברה התרנגולת כבר אינן מתבשלין במעיה:', 'כחלינהו - סימו את עיניו ע""י כחול:']"
36,Arakhin,Keritot,17b:11-14,9b:14-15,"['הכל הולך אחר חטאת - אם הביא חטאת בהמה בעשירות מביא נמי עולת בהמה ואם הביא חטאת העוף בעניות אע""פ שהעשיר מביא נמי עולה בעניות:']","['ר""ש סבר - האי טהרתו היינו דבר המכפר חטאו דעל ז\' דברים נגעים באין במסכת ערכין (דף טז.):']"
37,Pesachim,Pesachim,34a:9-34b:1,73b:3,"['בין כבש למזבח - כלומר בקרן זוית סמוך לכבש וסמוך למזבח במקום שהם מתחברים:', 'כל שפסולו בגופו - פסול ודאי ובבשר עצמו ישרף מיד:', 'בדם - כגון נשפך הדם:', 'ובבעלים - כגון נטמאו בעלים והפסח קיים ואין כאן מי שיאכלנו ודם אע""פ שפסול גמור הוא אפילו הכי הואיל ואינו כבשר עצמו בעי עיבור צורה:']",['בדם ובבעלים - כגון נשפך הדם וכגון פסח שמתו בעלים או נטמאו אחר זריקה דעכשיו פסח כשר הוא אלא שאין לו אוכלין:']
38,Berakhot,Eruvin,47a:14,17b:8,['מאכילים את העניים דמאי – דרוב עמי הארץ מעשרים הם וחומרא דרבנן בעלמא הוא:'],"['אכסניא - חיל הבא למלך ישראל להלחם על אויביהם וישראלים הם:', 'דמאי - ספק מעושר ספק אינו מעושר דרוב עמי הארץ מעשרין הן וחומרא דרבנן היא וגבי הנך אקילו רבנן:']"
39,Chullin,Yevamot,5b:10,99b:11,"[""השתא בהמתן של צדיקים - חמרא דר' פנחס בן יאיר לקמן:"", 'אין הקב""ה מביא תקלה על ידן - שתאכל הבהמה דבר האסור לה:']",['בהמתן של צדיקים - חמורו של רבי פנחס בן יאיר:']
40,Bava Kamma,Pesachim,29b:8,6b:16,"['בור ברה""ר - אלמא סבירא ליה לר""א דחיובא דבור ברה""ר היא:', 'משש שעות ולמעלה - אין חמץ ברשותו (דאע""ג) דאיתיה אסור בהנאה ועשאו הכתוב כאילו הוא ברשותו לעבור עליו בבל יראה ובל ימצא:']","[""דאמר ר' אלעזר ב' דברים אינן שלו ועשאן הכתוב כאילו הן ברשותו - להתחייב עליהן:"", 'בור ברשות הרבים - הפותחו חייב בניזקין ואין הבור שלו אלא של הפקר שהרי ברשות הרבים הוא ואף על פי שכרהו אין רשות הרבים קנויה לו:']"
41,Bava Metzia,Gittin,18b:10-11,27b:3-4,"[""בשלמא רבה - דאמר שינויא ארומיא דמתניתין דגיטין אמתני' דנזיקין:""]",['מי קתני - בבבא מציעא הא אמר תנו נותנין ואפילו לזמן מרובה:']
42,Niddah,Niddah,19b:9,56a:3,"['שמתעגל ויוצא - שמתאסף תחלה ואח""כ יוצא לאפוקי דם בין טמא בין טהור כשהוא בא נוטף ויוצא ראשון ראשון:']","['שמתעגל - מתאסף הרבה כאחד ואח""כ יוצא כגון רוק ומי רגלים ושכבת זרע: דם אין מתעגל ויוצא דכי אתא קמא קמא נפיק:']"
43,Rosh Hashanah,Sanhedrin,21a:8,13b:2,"['כי חזית דמשכה תקופת טבת עד שיתסר בניסן - שאין תקופת ניסן נופלת עד יום ט""ז וקיימא לן דיום התקופה מתחיל כר\' יוסי דאמר הכי בפ""ק דסנהדרין (ד\' יג.) נמצאת תקופת טבת מושכת עד שיתסר בניסן ולא עד בכלל:']","['שמור את חודש האביב שמור אביב של תקופה שיהא בחודש ניסן - שמור תקופת חדש ניסן של חמה שיהא בתוך חידושה של לבנה אביב הוא ניסן של חמה שאין ניסן קרוי אביב אלא על פי בישול התבואה שמתבכרת בו וכל ביכור התבואה ועתי הקיץ והחורף לחשבון החמה הם ואמר רחמנא שמור שיהא חדש ניסן של חמה נמשך לתוך ימי חידושה של לבנה דכתיב חדש ואין לשון חידוש נופל אלא על לבנה המתחדשת ואשמועינן שיהא ניסן של חמה נמשך בתוך ימי חידוש הלבנה במקצת וכמה הן ימי חידושה י""ד ימים מכאן ואילך היא ישנה:']"
44,Bava Kamma,Shabbat,62b:1-3,21b:11-12,"['מתני\' גץ - אשטנציי""ל:']","['גץ - ניצוץ אישטינציל""ש:', 'פטיש - קורנס גדול של נפחים:']"
45,Eruvin,Sukkah,99b:21,24b:14,"[""מתני' המיסך - שנופו נוטה למטה מכל צדדיו סביב:"", ""מטלטלין תחתיו - דאמרי' לבוד והרי יש כאן מחיצה עשרה:""]","['המיסך על הארץ - נופו גדול מאד וראשי הנוף כפופין סביב על הארץ:', 'מטלטלין תחתיו - דאמרינן לבוד ומחיצה זו גבוהה עשרה מבפנים שהנוף ארוך הוא ובגובה האילן הוא:']"
46,Menachot,Niddah,18b:2,66b:4,"['כל הראוי לבילה - ששים עשרונים שראויין לבלל בלוג:', 'אין בילה מעכבת בו - שמע מינה דאי נמי לא בלל כשר:', 'ושאין ראוי לבילה - ששים ואחד מעכב בו מצות בילה ופסולה אלמא מדשני לה אין בילה מעכבת בו שמע מינה לא בלל דמתניתין לא בלל כלל משמע וה""ה דלא יצק:']",['כל הראוי לבילה - במסכת מנחות ששים עשרונים הבאים בכלי אחד ראוין לבלול ואין בילה מעכבת בו שאם לא בלל כשר ושאין ראוי לבילה כגון ששים ואחד עשרונים בכלי אחד בילה מעכבת בו ופסולה הואיל ואי בעי לבלול לא מצי למבלל:']
47,Bekhorot,Keritot,47b:11,7b:11,"[""מתני' שפיר - עור הולד ממש:"", 'גנינים - גוונים:', ""וחגבים - לאו וולד נינהו. וטעמא מפרש במס' נדה בהמפלת חתיכה (נדה דף כב:) שלא נאמרה בהן יצירה כלגבי אדם:""]","['גנינין - גוונים: ', '(כמין דגים וחגבים): ']"
48,Yevamot,Yevamot,110b:9,112b:9,"['שני אחין חרשין - נישואיהן שוין בין שהן פקחות בין שהן חרשות בין אחת פקחת ואחת חרשת שהרי כניסתן לבעליהן ברמיזה וכן שתי חרשות כניסתן ברמיזה ואע""פ שהן פקחין או אחד פקח ואחד חרש נישואיהן שוין הילכך יוצאת היבמה משום אחות אשה:', 'ואם היו נכריות - ומת אחד מהן יכנוס השני דלאו בר חליצה הוא או היא אינה בת חליצה: ']",['הרי אלו פטורות - דהואיל ושתיהן חרשות או שניהן חרשים כקידושי זו כך קידושי זו ואתו קידושין דאשתו ומפקעי זיקה:']
49,Eruvin,Eruvin,23a:9,69b:10,"[""אנשי חצר ששכח כו' - ולמחר ביטל רשותו לחברו שהיא אוסרת עליהן מלהוציא מבתיהן לחצר:"", 'ביתו אסור להכניס ולהוציא - לחצר לצרכו:']","[""מתני' ביתו אסור להכניס ולהוציא - מביתו לחצר בין הוא בין שאר בני החצר ובגמרא מפרש כשביטל להן רשות שהיה לו בחצר ולא ביטל להן רשות ביתו הלכך הוה ליה רשות ביתו רשות דידיה וחצר רשותא דידהו:"", 'הוא מותר - להוציא מביתו לחצר:']"
50,Kiddushin,Yevamot,78a:10,77a:8,['בתו פסולה - כדאמרן לעיל (קידושין דף עז.) מקיש זרעו לו מה הוא מחלל זרעו אף בנו מחלל זרעו:'],"['בת גר עמוני - קא סלקא דעתך עמוני שנתגיירה אשתו עמו והורתה ולידתה בקדושה:', ""בת חלל - פסולה לכהונה בפ' עשרה יוחסין ופלוגתא דרבי יהודה ור' יוסי בפרק עשרה יוחסין:""]"
51,Bava Metzia,Shabbat,105b:16,85b:3,"['נשדף תלם אחד - ולא יותר משדות שהן סביבותיה ואותו תלם כל סביבות שדה זו:', 'תלם - שורות המענה:', 'נשתייר תלם אחד - כל סביבותיה שלא נשדף וארבע שדות שסביבותיה נשדפו וגם זו נשדפה:']","['תלם - מענה שורה:', 'על פני כולה - שהעביר מזרע שבצפון לזרע שבדרום דרך האמצעי וזרעו מאחד המינין או ממין ששי מהו מי מבטל תורת שורה הלכות ערוגה בשביל תלם אחד או לא:']"
52,Niddah,Niddah,18b:4-5,29a:25,"[""והא כי אתא רבין אמר - בפ' המפלת (לקמן נדה דף כט.):"", ""מתיב רבי יוסי ברבי חנינא - אדרבי יהושע בן לוי מתני' חדא דמיירי באשה טועה שלא ידעה אימתי ילדה והתם קתני לה וקאמר רבין לא ידענא מאי תיובתא דרבי יוסי דלאו תיובתא היא והתם מפרש טעמא:"", 'מאי לאו - ה""ק רבין דהא מתני\' לאו תיובתא היא דרבי יהושע אלא סייעתא אלמא מתני\' אמרה כרבי יהושע ואשכחן ארבעה מקומות בטומאת נשים במתני\' שהלכו אחר הרוב וקשיא לר\' יוחנן דלא קחשיב אלא תלת:']",['טועה - ממתניתא דמיירי באשה טועה שלא ידעה עת לידתה:']
53,Eruvin,Shabbat,16b:20,101a:5-101b:1,['מחיצה תלויה מיבעיא ליה - מחצלת עשרה שהגביהה מן הקרקע שלשה או יותר מיבעיא ליה לרב המנונא אי מבטל העומד לפרוץ שמתחתיו הואיל ופחות ממנו או לא:'],"['בחורבה - שדרך להיות בה מחיצות שנפלו תחתיהן וקיימות מלמעלה ותלויות:', 'מהו שתתיר - לטלטל בחורבה שלא תהא כפרוצה לרה""ר:', 'אלא במים - כגון גזוזטרא שהיא למעלה מן הים דתנן בעירובין (דף פז:) דעושה מחיצה תלויה סביב וממלא וכן בור שבין שתי חצרות וחלקו במחיצה תלויה מלמעלה ממלא זה מכאן וזה מכאן ואף על פי שלא עירבו (שם דף פו.):']"
54,Beitzah,Shabbat,23b:11-12,106b:2,"['אין צדין דגים - אף על גב דשחיטה ואפייה ובשול מאבות מלאכות הן והותרו לצורך יום טוב טעמא משום דאי אפשר מערב יום טוב דשחיטה חייש למכמר בשרא פן יתחמם ויסריח אבל צידה אפשר לצודו מבעוד יום ויניחנו במצודתו במים ולא ימות ולמחר יטלהו:', 'ביברים - של דגים הן בריכות של מים שקורין ויביי""ר ביברין של חיה קרפיפות מוקפין גדר סביב וכונסין לתוכן חיות הבר ויולדות ומגדלות שם:', 'ונותנין לפניהם מזונות - בימי החורף צריכין מזונות ואף בימי הקיץ במקום דריסת בני אדם שאין עשבים עולים בו']","[""גמ' ביברין - קרפיפות מוקפין:""]"
55,Gittin,Kiddushin,23b:7,23b:5,"['מיד רבו של חבירו - שאין רבו שלו דכיון דעבד איתיה בתורת שחרור שליח נמי מצי מיהוי:', 'אבל לא מיד רבו שלו - אם שניהם של איש אחד דיד עבד כיד רבו דמי וכשמסרו גט בידו לא יצא גט מרשותו ואע""ג דעבד מקבל גט לעצמו התם הוא דגיטו וידו באים כאחד דשיחרורא דידיה הוא אבל לאחרינא לא:']",['אבל לא מיד רבו שלו - אם היו שניהם של איש אחד:']
56,Zevachim,Zevachim,109a:14-109b:1,25b:16,"['כל הזבחים - בר מעולה:', 'או כזית חלב - דכתיב וזרק הכהן את הדם וגו\' והקטיר החלב אע""פ שאין בשר זורק עליו את הדם והכי מפרש במנחות בהקומץ רבה (מנחות דף כו.):']",['שנשתייר מהן - בשעת זריקה אם נטמא כל הבשר והחלב או שאבד לא יזרוק רבי יהושע לטעמיה דדריש ועשית עולותיך הבשר והדם אם אין בשר אין דם במנחות (דף נו) קתני מיהא זורק ואין לך בעל מום גדול מזה קשיא לרבא דאמר בעינן תם בשעת זריקה אבל לרבי זירא לא קשיא דהא לא בעי תם אלא בשחיטה וקבלה:']
57,Pesachim,Yevamot,69b:9,14a:9,"['כלל א""ר עקיבא כל מלאכה שאפשר לעשותה מערב שבת - כגון הבאתו מחוץ לתחום וחתיכת יבלתו:']","['כלל אמר ר""ע - לגבי מילה באיסור שבת:']"
58,Chullin,Zevachim,122b:6,64b:17,['וחייבין עליו כרת - האוכל ממנו אפילו בזמנו:'],['שדרכו להקטיר - עולת העוף:']
59,Ketubot,Yevamot,53a:9-10,91a:4,"[""אין יורשין של זה כו' - משנה היא ביבמות האשה שהלך בעלה למדינת הים ואמר לה עד אחד מת בעליך והתירוה לינשא ונישאת ואחר כך בא בעלה תצא מזה ומזה ואין לה כתובה לא מזה ולא מזה ואם מתה אין יורשין של זה וזה בנים שיש לה מזה ומזה יורשין כתובתה:"", 'והוינן בה כתובתה מאי עבידתה - הא אמרת אין לה כתובה:', 'ואמר רב פפא כתובת בנין דכרין - והכי קאמר מתה היא בחיי שניהם וירשוה הם אין בנים שיש לה מזה ומזה נוטלין כתובת אמן כבנין דכרין כשבאין לחלוק בנכסי אביהם אלא חולקין בשוה:', 'נימא יצר אנסה - שהיתה מתאוה לבעל:']",['כתובה מאי עבידתה - הא תנן ברישא אין לה כתובה:']
60,Eruvin,Sukkah,36b:13-37a:1,23b:5-24a:1,"['הלוקח יין מבין הכותים - קודם שגזרו על יינם כדמפרש בשחיטת חולין וסתם כותים לא מפרשי תרומה ואין לזה כלים להפריש לתוכן תרומה ומעשר:', 'אומר שני לוגין שאני עתיד להפריש תרומה - מן המאה:', 'הרי הן - בתוכו:', 'ומיחל - מעשר שני שהוא יכול לתקן מיד בלא הפרשה לאחר שקרא עליו שם יחללנו בכל מקום שהוא על המעות ושותה מיד ולאחר זמן יפריש התרומה והמעשר ואמרינן הוברר הדבר שזהו תרומה:', 'אוסרין - קס""ד השתא דטעמייהו משום דקסברי אין ברירה:']","['הלוקח יין מבין הכותים - קודם שגזרו עליהם כדאמרינן בהכל שוחטין (חולין דף ו.):', ""אומר שני לוגין שאני עתיד להפריש - מן המאה לתרומה הרי שם תרומה קרוי עליהם בתוכו וכגון שהגיע לילי שבת [או] אין עמו כלים טהורים להפריש לתוכן תרומה ומעשר והאי דנקט כותים אשמעי' דגרועין הן מעמי הארץ והלוקח מהן צריך לעשר ודאי ולא דמאי ואף על התרומה נחשדו:""]"
